platform,case,pe-count,cost,throughput,initime,runtime,finaltime,type
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,640,764.91,20.08,71.675,365.427,0.065,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,1024,851.91,28.85,73.073,254.369,0.098,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,640,763.46,20.12,82.228,364.735,0.122,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,128,609.34,5.04,84.778,1455.521,0.121,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,896,808.93,26.58,65.849,276.04,0.013,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,896,814.8,26.39,66.953,278.046,0.132,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,256,654.31,9.39,71.047,781.472,0.274,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,1024,850.37,28.9,457.495,253.911,0.068,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,896,811.39,26.5,69.334,276.881,0.499,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,896,858.39,25.05,67.869,292.92,0.133,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,768,790.96,23.3,69.059,314.895,0.126,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,1024,843.99,29.12,69.366,252.006,0.197,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,512,709.92,17.31,81.386,423.945,0.114,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,896,805.84,26.69,64.476,274.988,0.544,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,512,709.54,17.32,70.053,423.717,0.13,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,896,800.88,26.85,73.434,273.293,0.169,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,768,817.77,22.54,67.137,325.569,0.097,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,512,707.18,17.38,71.449,422.312,0.231,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,640,764.57,20.09,64.029,365.266,0.076,bare metal
betzy_gnu-noresm,NF2000climo-f19_f19_mg17,1024,854.46,28.76,67.211,255.132,0.138,bare metal
